Name,BVN,Age,Occupation,LoanAmount,AnnualIncome,MonthlyNetSalary,InterestRate,NumberOfLoan,NumberOfDelayedPayment,OutstandingDebt,MonthsOfCreditHistory,PaymentOfMinimumAmount,MonthlyInstallmentAmount,AmountInvestedMonthly,MonthlyBalance
Noelu,#N/A,24,Lawyer,1657.44,59103.06,4806.26,7,0,9,1428.53,187,0,0,541.71,228.91
Noelu,#N/A,24,Lawyer,2075.31,59103.06,4806.26,7,0,9,1428.53,189,0,0,83.84,646.78
Noelu,#N/A,24,Lawyer,2034.24,59103.06,4806.26,7,0,9,1428.53,192,0,0,144.92,605.71
Noelu,#N/A,24,Lawyer,2081.73,59103.06,4806.26,7,0,9,1428.53,193,0,0,87.42,653.2
Peter Hendersonk,#N/A,35,Media_Manager,2667.06,18371.27,1295.94,27,5,17,2307.33,125,1,52,49.86,307.73
Peter Hendersonk,#N/A,35,Media_Manager,2619.06,18371.27,1295.94,27,5,16,2307.33,127,1,52,107.86,259.73
Peter Hendersonk,#N/A,35,Media_Manager,2593.59,18371.27,1295.94,27,5,18,2307.33,128,1,52,133.33,234.26
Ruanoj,#N/A,45,Scientist,561.49,44258.1,3867.18,11,1,1,345.23,387,0,23.66,460.46,192.6
Ruanoj,#N/A,45,Scientist,724.63,44258.1,3867.18,11,1,996,345.23,390,0,23.66,297.32,355.74
George Georgiopoulosb,#N/A,24,Teacher,1250.22,46422.1,4085.51,9,2,12,832.68,281,0,66.49,281.01,351.05
Kevink,#N/A,43,Engineer,1188.29,40063.22,3305.6,11,3,10,883.31,337,0,90.56,305.57,214.42
Karen Freifeldu,#N/A,37,Developer,4763.99,17625.61,1406.8,18,7,28,4491.22,35,1,87.87,157.9,184.9
Karen Freifeldu,#N/A,38,Developer,4768.19,17625.61,1406.8,18,7,24,4491.22,38,1,87.87,153.7,189.1
Jonathan Stempele,#N/A,26,Media_Manager,5263.16,32428.98,2512.42,23,5,23,4903.14,128,1,109.27,181.22,250.75
Jonathan Stempele,#N/A,26,Media_Manager,5295.7,32428.98,2512.42,23,5,23,4903.14,130,1,109.27,138.68,283.29
Karenz,#N/A,31,Media_Manager,1607.53,10457.88,688.49,29,8,16,1286.8,154,0,68.55,38.12,252.18
Karenz,#N/A,31,Media_Manager,1576.46,10457.88,688.49,29,8,16,1286.8,155,1,68.55,29.19,221.11
Karenz,#N/A,31,Media_Manager,1584.25,10457.88,688.49,29,8,16,1286.8,156,1,68.55,31.4,228.9
Karenz,#N/A,31,Media_Manager,1585.01,10457.88,688.49,29,8,16,1286.8,157,1,68.55,10.64,229.66
Emily Kaiserm,#N/A,34,Entrepreneur,1451.57,93536.04,7565.67,20,0,19,863.78,320,1,0,448.78,587.79
Emily Kaiserm,#N/A,34,Entrepreneur,1469.34,93536.04,7565.67,20,0,19,863.78,321,1,0,411,605.56
Emily Kaiserm,#N/A,34,Entrepreneur,1779.4,93536.04,7565.67,20,0,19,863.78,323,1,0,80.94,915.62
Emily Kaiserm,#N/A,35,Entrepreneur,1600.41,93536.04,7565.67,20,0,18,863.78,324,1,0,269.93,736.63
Emily Kaiserm,#N/A,35,Entrepreneur,1664.07,93536.04,7565.67,20,0,16,863.78,325,1,0,196.28,800.29
Emily Kaiserm,#N/A,35,Entrepreneur,1712.58,93536.04,7565.67,20,0,16,863.78,326,1,0,157.76,848.8
Philipp Halstrickr,#N/A,23,Developer,3445.82,81823.28,6776.61,31,7,20,2696.49,212,1,306.15,168.33,443.18
Philipp Halstrickr,#N/A,23,Developer,3488.95,81823.28,6776.61,31,7,18,2696.49,214,0,306.15,135.2,486.31
Philipp Halstrickr,#N/A,23,Developer,3492.06,81823.28,6776.61,31,7,16,2696.49,215,1,306.15,142.08,489.42
Philipp Halstrickr,#N/A,23,Developer,3255.08,81823.28,6776.61,31,7,18,2696.49,217,1,306.15,379.07,252.44
Philipp Halstrickr,#N/A,23,Developer,3514.32,81823.28,6776.61,31,7,18,2696.49,218,1,306.15,99.82,511.68
Paritosh Bansalo,#N/A,27,Musician,2619.66,9929.24,828.44,23,3,18,2328.08,80,1,18.12,51.26,273.46
Paritosh Bansalo,#N/A,27,Musician,2649.01,9929.24,828.44,23,3,18,2328.08,84,1,18.12,21.91,302.81
Soyoung Kims,#N/A,25,Musician,491.34,23198518,1780.38,14,4,15,157.98,258,0,72.8,134.68,260.56
Soyoung Kims,#N/A,25,Musician,556.32,24148.54,1780.38,14,4,15,157.98,262,0,72.8,19.7,325.54
Lawrencev,#N/A,40,Writer,4248.03,18762.55,1710.55,24,6,372,3916.73,22,1,54.06,109.76,277.24
Lawrencev,#N/A,40,Writer,4154.58,18762.55,1710.55,24,6,24,3916.73,26,1,54.06,223.21,183.79
Lawrencev,#N/A,41,Writer,4306.9,18762.55,1710.55,24,6,23,3916.73,27,1,54.06,40.89,336.11
Vladimirg,#N/A,29,Doctor,5116.25,39353.8,3201.48,18,6,18,4591.53,20,1,195.66,35.42,329.06
Vladimirg,#N/A,29,Doctor,5053.9,39353.8,3201.48,18,6,21,4591.53,21,1,195.66,107.78,266.71
Vladimirg,#N/A,30,Doctor,5085.44,39353.8,3201.48,18,6,18,4591.53,23,1,195.66,96.24,298.25
Felsenthali,#N/A,22,Scientist,5335.32,83990.68,6776.22,18,5,21,4857.4,136,1,336.58,479.7,141.34
Felsenthali,#N/A,22,Scientist,5506.62,83990.68,6776.22,18,5,19,4857.4,138,1,336.58,278.4,312.64
Felsenthali,#N/A,22,Scientist,5339.43,83990.68,6776.22,18,5,19,4857.4,141,1,336.58,455.59,145.45
Felsenthali,#N/A,22,Scientist,5432.54,83990.68,6776.22,18,5,19,4857.4,142,1,336.58,372.48,238.56
Spicerx,#N/A,39,Teacher,1581.29,16154.26,1506.19,7,3,17,1232.63,206,1,24.03,71.97,324.63
Spicerx,#N/A,39,Teacher,1573.36,16154.26,1506.19,7,3,20,1232.63,211,1,24.03,89.89,316.7
Crawleyq,#N/A,40,Scientist,817.64,11100.59,1087.05,13,4,19,465.87,226,1,23.38,36.94,328.39
Crawleyq,#N/A,40,Scientist,784.77,11100.59,1087.05,13,4,19,465.87,228,1,23.38,59.8,295.52
Matthew Goldsteinv,#N/A,49,Mechanic,1755.26,20194.02,1553.84,14,3,20,1472.07,252,1,31.72,162.2,251.47
Matthew Goldsteinv,#N/A,50,Mechanic,1846.2,20194.02,1553.84,14,3,23,1472.07,254,1,31.72,31.26,342.41
Matthew Goldsteinv,#N/A,50,Mechanic,1772.68,21964843,1553.84,14,3,20,1472.07,255,1,31.72,144.78,268.89
Nicola Leskem,#N/A,39,Accountant,40174.83,32777.51,2701.46,1,3,3,653.37,310,0,39126,99.71,395.46
Nicola Leskem,#N/A,39,Accountant,1041.78,32777.51,2701.46,1,3,4,653.37,314,0,64.98,161.74,323.43
Julienz,38049455651,48,Musician,1695.67,43090.57,3787.88,8,1,10,1128.23,394,0,34.77,61.36,532.67
Andreasb,#N/A,33,Teacher,5040.85,9863.53,1038.96,29,8,20,4706.9,54,1,45.42,49.94,288.53
Rodrigou,#N/A,25,Musician,1237.33,47268.22,4058.02,19,5,8,914.7,176,1,194.68,373.17,127.95
Whitew,#N/A,18,Architect,3584.69,9276.99,741.08,25,5,20,3297.71,103,1,28.18,57.12,258.8
Whitew,#N/A,18,Architect,3590.65,9276.99,741.08,25,5,22,3297.71,105,1,28.18,71.17,264.76
Whitew,#N/A,18,Architect,3609.36,9276.99,741.08,25,5,22,3297.71,106,1,28.18,12.46,283.47
ra Alperm,#N/A,25,Musician,2684.75,48409.17,4021.1,12,4,22,2120.2,167,0,98.66,97.57,465.89
ra Alperm,#N/A,25,Musician,2680.83,48409.17,4021.1,12,4,19,2120.2,171,1,98.66,91.48,461.97
Louise Egani,#N/A,14,Accountant,2064.92,20256.39,1971.03,21,7,19,1803.77,110,1,70.64,225.96,190.51
Louise Egani,#N/A,15,Accountant,2065.81,20256.39,1971.03,21,7,17,1803.77,116,1,70.64,225.07,191.4
Latulo,#N/A,29,Mechanic,933.89,34225.79,2750.15,9,2,17,592.68,369,0,37.18,223.81,304.03
Palmerc,#N/A,36,Scientist,2537.58,18241.11,1582.09,13,2,11,2181.17,106,1,20.86,81.8,335.55
Palmerc,#N/A,36,Scientist,2544.4,18241.11,1582.09,13,2,13,2181.17,109,1,20.86,34.98,342.37
Douglas Busvinep,#N/A,49,Mechanic,1418.09,44318.92,3491.24,8,0,9,1127.35,342,1,0,348.38,290.74
Guir,#N/A,42,Accountant,2872.78,61262.76,5054.23,20,5,25,2357.37,77,1,250.6,270.02,264.81
Edwinz,#N/A,47,Doctor,1713.01,105015.76,8719.31,9,4,20,715.37,314,1,344.21,124.29,653.43
Edwinz,#N/A,47,Doctor,1098.67,105015.76,8719.31,9,4,19,715.37,315,1,344.21,758.62,39.09
Edwinz,#N/A,47,Doctor,1429.44,105015.76,8719.31,9,4,20,715.37,317,0,344.21,437.86,369.86
Edwinz,#N/A,47,Doctor,1554.24,105015.76,8719.31,9,4,18,715.37,320,1,344.21,293.06,494.66
Wachteln,#N/A,32,Journalist,764.18,53320.98,4343.42,20,4,18,167.15,336,1,93.09,97.31,503.94
Alanp,#N/A,44,Mechanic,1192.53,14435.44,1376.7,20,4,17,799.07,200,1,86.3,80.69,307.16
Alanp,#N/A,44,Mechanic,1211.89,14435.44,1376.7,20,4,17,799.07,202,1,86.3,51.34,326.52
Alanp,#N/A,44,Mechanic,1203.1,14435.44,1376.7,20,4,19,799.07,204,0,86.3,30.13,317.73
Charlie Zhuk,#N/A,46,Entrepreneur,1465.12,17132.91,1283.74,5,2,2,1107.05,259,0,15.4,60.3,342.67
Erwin Sebae,#N/A,39,Teacher,2453.57,7314.68,319.56,29,7,24,2169.86,217,1,25.16,28.24,258.55
Erwin Sebae,#N/A,39,Teacher,2464.21,7314.68,319.56,29,7,23,2169.86,224,1,25.16,0,269.19
Liana B.t,#N/A,19,Musician,2655.19,47557.02,3715.09,17,6,18,2213.85,80,1,122.88,200.17,318.46
Liana B.t,#N/A,19,Musician,2685.47,47557.02,3715.09,17,6,15,2213.85,83,1,122.88,149.89,348.74
Liana B.t,#N/A,19,Musician,2552.13,47557.02,3715.09,17,6,16,2213.85,86,1,122.88,313.23,215.4
tg,#N/A,21,Teacher,2746.79,36401.36,3231.45,33,6,14,2301.93,159,1,129.34,128.29,315.52
tg,#N/A,21,Teacher,2808.35,36401.36,3231.45,33,6,10,2301.93,161,1,129.34,76.73,377.08
tg,#N/A,22,Teacher,2832.55,36401.36,3231.45,33,6,12,2301.93,163,1,129.34,42.53,401.28
Megha Rajagopalanx,#N/A,23,Engineer,2111.31,33518.12,2879.18,23,7,14,1743.43,218,1,165.64,210.03,202.24
Megha Rajagopalanx,#N/A,23,Engineer,2180.82,33518.12,2879.18,23,7,12,1743.43,220,1,165.64,110.53,271.75
Megha Rajagopalanx,#N/A,24,Engineer,2248.02,33518.12,2879.18,23,7,12,1743.43,222,1,165.64,23.32,338.95
Ramakrishnanr,#N/A,36,Entrepreneur,2088.15,56274.24,4518.52,26,4,17,1611.31,129,1,152.83,265.01,324.01
Poornima Guptau,#N/A,31,Musician,2177.48,57742.86,4699.91,31,7,22,1758.91,145,1,291.64,311.42,126.93
Poornima Guptau,#N/A,31,Musician,2134.97,57742.86,4699.91,31,7,23,1758.91,149,1,291.64,363.93,84.42
Sharpw,#N/A,22,Musician,1037.63,25971.13,1912.26,2,4,9,771.67,185,0,52.87,215.27,213.09
rianz,#N/A,19,Accountant,557.67,34039.54,2728.63,17,4,14,197.39,276,1,83.75,172.59,276.53
rianz,#N/A,19,Accountant,587.03,34039.54,2728.63,17,4,14,197.39,277,0,83.75,153.23,305.89
Foos,#N/A,31,Lawyer,2861.4,28694.16,2544.18,15,8,19,2481.83,62,1,123.7,154.84,255.87
Foos,#N/A,32,Lawyer,2901.93,28694.16,2544.18,15,8,19,2481.83,66,0,123.7,104.32,296.4
Foos,#N/A,32,Lawyer,2936.05,28694.16,2544.18,15,8,22,2481.83,68,1,123.7,80.19,330.52
Xiaoyif,#N/A,39,Media_Manager,1308.81,66489.74,5575.81,17,3,8,819.57,371,0,118.33,338.34,370.91
Pedror,#N/A,27,Mechanic,1853.42,7169.59,867.47,33,5,14,1552.66,148,1,18.76,45.98,282
Jamese,#N/A,39,Scientist,1524.4,82988.08,7100.67,10,3,20,1036.93,218,1,182.42,502.59,305.05
Jamese,#N/A,39,Scientist,1585.05,82988.08,7100.67,10,3,19,1036.93,222,1,182.42,451.94,365.7
Jamese,#N/A,39,Scientist,1780.97,82988.08,7100.67,10,3,16,1036.93,223,1,182.42,216.02,561.62
Jamese,#N/A,39,Scientist,1744.1,82988.08,7100.67,10,3,17,1036.93,224,0,182.42,262.89,524.75
Steve Slaterr,#N/A,28,Mechanic,2004.15,70618.62,5775.88,15,5,10,1311.97,129,0,267.86,125.4,424.32
Steve Slaterr,#N/A,28,Mechanic,2061.15,70618.62,5775.88,15,5,10,1311.97,130,1,267.86,78.41,481.32
Steve Slaterr,#N/A,28,Mechanic,1964.24,70618.62,5775.88,15,5,10,1311.97,132,1,267.86,205.31,384.41
Dougc,#N/A,24,Entrepreneur,727.95,98436.6,8079.05,10,0,13,329.72,246,0,0,689.67,398.23
Dougc,#N/A,25,Entrepreneur,1057.91,98436.6,8079.05,10,0,15,329.72,249,0,0,359.72,728.19
Dougc,#N/A,25,Entrepreneur,682.48,98436.6,8079.05,10,0,15,329.72,251,0,0,725.14,352.76
Dougc,#N/A,25,Entrepreneur,1140.62,98436.6,8079.05,10,0,16,329.72,252,0,0,247.01,810.9
Chuck Mikolajczaks,#N/A,51,Manager,52701.65,19019.1,1637.93,8,4,15,878.69,210,0,51563,144.99,259.96
Rodrigox,#N/A,29,Manager,3073.02,38158.8,2992.9,30,8,16,2678.85,73,1,248.44,165.12,145.73
Sakari Suoninenp,#N/A,45,Journalist,642.56,63539.66,5032.97,19,4,8,173.85,227,1,206.87,294.59,261.84
Sakari Suoninenp,#N/A,45,Journalist,741.18,63539.66,5032.97,19,4,8,173.85,228,1,206.87,185.97,360.46
Sakari Suoninenp,#N/A,45,Journalist,728.02,63539.66,5032.97,19,4,5,173.85,229,1,206.87,199.13,347.3
Mutikanik,#N/A,55,Lawyer,2205.67,120644.88,10043.74,7,4,10,1437.99,212,0,257.9,496.7,509.78
Mutikanik,#N/A,55,Lawyer,2209.9,120644.88,10043.74,7,4,7,1437.99,217,0,257.9,522.46,514.01
Jonathanh,#N/A,48,Mechanic,1330.25,129982.41,10653.87,12,4,4,395.78,348,0,278.04,380.91,656.43
Rochag,#N/A,21,Media_Manager,3027.1,22291103,926.47,14,6,10,2685.31,171,1,33.64,30.86,308.15
Rochag,#N/A,21,Media_Manager,3017.89,8213.68,926.47,14,6,10,2685.31,173,1,33.64,40.06,298.94
Roumeliotisg,#N/A,45,Journalist,4015.47,64688.84,5654.74,30,7,16,3552.52,132,1,221.64,362.52,241.31
Kirstinz,#N/A,37,Engineer,1645.85,71814.28,5976.52,10,0,15,1434.97,398,0,0,676.77,210.88
Kirstinz,#N/A,37,Engineer,2114.31,71814.28,5976.52,10,0,13,1434.97,399,0,0,168.32,679.34
William Jamest,#N/A,37,Musician,3082.92,38117.06,3245.42,34,6,19,2639.35,95,1,143.51,140.97,300.06
Ingrassiaw,#N/A,20,Writer,866.37,30549.55,2467.8,10,2,9,423.22,227,0,46.88,63.63,396.27
Garethu,#N/A,28,Writer,1592.14,101203,8675.58,6,4,13,598.94,292,0,278.91,124.36,714.29
Andyz,#N/A,25,Media_Manager,765.55,35006.57,3203.21,10,4,16,246.13,189,1,76.98,40.9,442.44
Andyz,#N/A,25,Media_Manager,554.62,35006.57,3203.21,10,4,14,246.13,194,1,76.98,291.83,231.51
Andyz,#N/A,26,Media_Manager,715.34,35006.57,3203.21,10,4,11,246.13,196,1,76.98,101.11,392.23
Carewo,#N/A,49,Manager,473.74,41617.68,3350.14,2,4,12,201.05,358,0,94.46,342.32,178.23
Carewo,#N/A,49,Manager,747.29,41617.68,3350.14,2,4,9,201.05,359,0,94.46,38.77,451.78
Ros Krasnyp,#N/A,27,Accountant,732.54,99657.51,8164.79,8,4,17,113.12,322,1,307.53,487.06,311.89
Ros Krasnyp,#N/A,27,Accountant,684.53,99657.51,8164.79,8,4,17,113.12,324,1,307.53,525.07,263.88
raf,#N/A,46,Manager,714.52,63068.88,5406.74,11,3,7,348.96,251,0,97.06,445.12,268.5
raf,#N/A,47,Manager,971.54,63068.88,5406.74,11,3,7,348.96,253,0,97.06,178.09,525.52
Feldmanh,#N/A,21,Mechanic,2880.48,19582.95,1411.91,31,6,21,2556.35,143,1,70.55,107.07,253.58
Feldmanh,#N/A,21,Mechanic,2920.55,19582.95,1411.91,31,6,19,2556.35,147,1,70.55,57,293.65
Hughesq,#N/A,48,Developer,852.7,57080.22,4598.69,3,3,9,553.43,273,0,116.53,450.59,182.74
Hughesq,#N/A,48,Developer,1128.53,57080.22,4598.69,3,3,9,553.43,276,0,116.53,134.76,458.57
Linda Siegh,#N/A,52,Manager,744.06,37367.34,3303.95,10,3,1,452.85,391,0,63.49,319.19,227.72
Parragag,#N/A,40,Entrepreneur,1884.21,36647.46,3043.96,9,4,18,1471.04,192,0,90.15,181.23,323.02
Parragag,#N/A,41,Entrepreneur,15137.26,36647.46,3043.96,9,4,16,1471.04,195,0,13260,88.03,406.22
Parragag,#N/A,41,Entrepreneur,1844.19,36647.46,3043.96,9,4,16,1471.04,198,0,90.15,211.25,283
David Henryk,#N/A,37,Accountant,1342.78,28468.13,2587.34,3,3,6,952.39,251,0,64.52,148.35,325.87
Cohnw,#N/A,38,Doctor,4637.32,67531.72,5905.64,31,8,26,4192.67,128,0,399.15,415.91,45.5
Kirstin Ridleye,#N/A,21,Scientist,2062.53,17918.66,1519.22,20,2,10,1761.39,101,1,21.22,140.78,279.92
Kirstin Ridleye,#N/A,21,Scientist,2057.03,17918.66,1519.22,20,2,10,1761.39,104,0,21.22,126.28,274.42
Jessica Toonkelt,#N/A,32,Accountant,2429.83,58382,4808.17,32,5,18,1962.19,141,0,241.32,283.18,226.32
Jessica Toonkelt,#N/A,32,Accountant,2421.71,58382,4808.17,32,5,15,1962.19,144,1,241.32,311.29,218.2
Jessica Toonkelt,#N/A,32,Accountant,2572.15,58382,4808.17,32,5,15,1962.19,145,1,241.32,110.86,368.64
Jessica Toonkelt,#N/A,32,Accountant,2380.29,58382,4808.17,32,5,15,1962.19,146,1,241.32,352.72,176.78
Matt Scuffhame,#N/A,34,Media_Manager,4845.25,17945.77,1349.48,23,9,17,4496.04,153,1,108.46,25.74,240.75
Matt Scuffhame,#N/A,34,Media_Manager,4842.65,17945.77,1349.48,23,9,17,4496.04,160,1,108.46,58.34,238.15
Chris Gallagherh,#N/A,37,Teacher,360.6,21833.79,1814.48,6,4,11,14.56,286,0,71.28,95.41,274.76
da Costan,#N/A,52,Lawyer,455.11,19799.73,1915.98,12,2,20,125.69,400,0,18.15,142.17,311.27
Halsc,#N/A,39,Developer,1974.39,112985.56,9176.46,15,2,15,1050.97,99,1,98.83,234.23,824.59
Niklasb,#N/A,18,Developer,1980.32,80206.64,6766.89,20,5,18,1129.87,97,1,260.42,76.24,590.03
Niklasb,#N/A,18,Developer,1945.09,80206.64,6766.89,20,5,19,1129.87,98,1,260.42,101.47,554.8
Niklasb,#N/A,18,Developer,1809.84,80206.64,6766.89,20,5,19,1129.87,100,1,260.42,256.72,419.55
Niklasb,#N/A,18,Developer,1813.46,80206.64,6766.89,20,5,19,1129.87,102,1,260.42,243.1,423.17
Niklasb,#N/A,18,Developer,1981.86,80206.64,6766.89,20,5,19,1129.87,103,0,260.42,74.7,591.57
Niklasb,#N/A,19,Developer,1563.58,80206.64,6766.89,20,5,16,1129.87,104,1,260.42,522.98,173.29
Reneed,#N/A,25,Teacher,1435.5,31380.64,2356.05,4,3,1,1027.38,299,0,74.05,77.48,334.07
Reneed,#N/A,25,Teacher,1476.98,31380.64,2356.05,4,3,4,1027.38,302,0,74.05,46.01,375.55
Reneed,#N/A,25,Teacher,1431.85,31380.64,2356.05,4,3,0,1027.38,303,0,74.05,91.13,330.42
Whiter,#N/A,21,Entrepreneur,1610.73,29727.93,2678.33,14,1,10,1237.42,347,1,12.91,164.52,360.4
Whiter,#N/A,22,Entrepreneur,1641.54,29727.93,2678.33,14,1,13,1237.42,351,1,12.91,113.72,391.21
Whiter,#N/A,22,Entrepreneur,1563.08,29727.93,2678.33,14,1,10,1237.42,353,1,12.91,212.18,312.75
Aruna Viswanathac,#N/A,36,Doctor,1964.45,18496.49,1802.37,27,4,23,1571.26,230,1,54.91,37.05,338.28
Aruna Viswanathac,#N/A,36,Doctor,1913.29,18496.49,1802.37,27,4,23,1571.26,231,1,54.91,118.21,287.12
Aruna Viswanathac,#N/A,36,Doctor,1856.81,18496.49,1802.37,27,4,23,1571.26,232,1,54.91,184.69,230.64
Aruna Viswanathac,#N/A,36,Doctor,57764.96,18496.49,1802.37,27,4,26,1571.26,237,0,56019,240.63,174.7
Neil Maidmentb,#N/A,39,Lawyer,2663.09,17594.78,1481.23,29,7,23,2413.88,226,1,74,188.91,175.21
Neil Maidmentb,#N/A,39,Lawyer,2773.04,17594.78,1481.23,29,7,23,2413.88,227,1,74,68.96,285.16
Samuel Shenh,#N/A,41,Mechanic,860.33,13986.84,1411.57,15,2,14,482.88,191,0,20.53,53.71,356.92
Samuel Shenh,#N/A,41,Mechanic,839.49,13986.84,1411.57,15,2,12,482.88,197,0,20.53,74.55,336.08
Wanfenga,#N/A,42,Architect,1705.26,160052.2,13580.68,10,2,8,1118.35,261,0,207.86,1041.15,379.05
Jenniferm,#N/A,35,Mechanic,4061.11,79323.96,6900.33,17,8,23,3393.48,168,1,423.15,302.4,244.48
Jenniferm,#N/A,35,Mechanic,4228.61,79323.96,6900.33,17,8,23,3393.48,170,1,423.15,94.9,411.98
Jenniferm,#N/A,36,Mechanic,4250.63,79323.96,6900.33,17,8,23,3393.48,171,0,423.15,72.89,434
Lianav,#N/A,35,Entrepreneur,1281.79,128423.36,10636.95,12,5,10,527.06,177,1,339.11,598.97,415.62
Lianav,#N/A,35,Entrepreneur,1192.94,128423.36,10636.95,12,5,10,527.06,179,1,339.11,677.81,326.77
Lianav,#N/A,35,Entrepreneur,1453.86,128423.36,10636.95,12,5,8,527.06,183,0,339.11,416.89,587.69
Vlastelicaw,#N/A,50,Engineer,1389.31,34281.92,2733.83,9,4,6,935.85,230,0,76.11,59.92,377.35
Vlastelicaw,#N/A,50,Engineer,1355.81,34281.92,2733.83,9,4,6,935.85,233,0,76.11,103.42,343.85
Gerry Shiha,#N/A,24,Scientist,1123.89,41167.6,3596.63,7,0,7,918.62,321,0,0,444.39,205.27
Gerry Shiha,#N/A,24,Scientist,1338.65,41167.6,3596.63,7,0,8,918.62,322,0,0,199.64,420.03
Soyoungo,#N/A,49,Writer,515.86,38750.41,2987.2,7,4,0,2.43,394,0,121.73,25.29,391.7
Emmotth,#N/A,50,Developer,22049.56,35871.34,3142.28,5,1,0,525.01,290,0,21040,44.63,484.55
Lw,#N/A,26,Manager,1381.54,24206.09,1759.17,9,3,15,1009.38,370,0,55.07,83.76,317.09
Lw,#N/A,27,Manager,1505.46,24206.09,1666.72,9,3,15,1009.38,375,0,147.52,22.29,348.56
ewicho,#N/A,41,Lawyer,1663.83,19543.58,1400.63,24,6,17,1362.43,208,1,94.23,128.67,207.17
ewicho,#N/A,41,Lawyer,1647.65,19543.58,1400.63,24,6,17,1362.43,211,1,94.23,144.84,190.99
ewicho,#N/A,41,Lawyer,1734.22,19543.58,1400.63,24,6,17,1362.43,212,1,94.23,58.28,277.56
ewicho,#N/A,41,Lawyer,1712.25,19543.58,1400.63,24,6,17,1362.43,213,1,94.23,40.24,255.59
Miyoung Kimj,#N/A,40,Manager,965.81,43826.51,3584.21,12,4,2,482.57,251,0,130.44,125.18,352.8
Miyoung Kimj,#N/A,40,Manager,978.07,43826.51,3584.21,12,4,2,482.57,254,0,130.44,112.92,365.06
Lawderu,#N/A,43,Journalist,1821.23,17728.55,1565.38,12,7,14,1493.28,90,1,63.72,118.58,264.23
Herbst-Baylissz,#N/A,16,Engineer,2823.91,7622.81,776.23,9,6,9,2520.97,225,0,19.89,54.68,283.05
Herbst-Baylissz,#N/A,17,Engineer,2832.26,7622.81,776.23,9,6,7,2520.97,228,1,19.89,56.33,291.4
Herbst-Baylissz,#N/A,17,Engineer,2826.12,7622.81,776.23,9,6,9,2520.97,230,0,19.89,52.47,285.26
raz,#N/A,37,Accountant,2863.38,80539.08,6542.59,18,6,16,2160.91,88,1,302.9,211.78,399.57
raz,#N/A,37,Accountant,3238.59,80539.08,6103.54,18,6,18,2160.91,94,0,741.95,295.63,335.73
raz,#N/A,37,Accountant,3260.1,80539.08,6103.54,18,6,18,2160.91,95,0,741.95,254.11,357.24
Alistairx,#N/A,24,Media_Manager,1345.86,36408.04,3123,9,0,8,903.14,220,0,0,119.58,442.72
Alistairx,#N/A,25,Media_Manager,1354.73,36408.04,3123,9,0,11,903.14,223,0,0,130.71,451.59
Laura Noonanq,#N/A,34,Writer,1506.23,86163.52,7133.29,6,3,6,717.37,381,0,184.82,164.46,604.04
Laura Noonanq,#N/A,34,Writer,1539.71,86163.52,7133.29,6,3,5,717.37,382,0,184.82,140.98,637.52
Martinne Gelleru,#N/A,38,Media_Manager,2978.32,58873.64,4875.14,5,7,16,2452.62,194,1,197.31,251.81,328.39
Harich anq,#N/A,19,Teacher,3176.26,81760,6988.33,24,3,21,2604.66,169,1,125.18,407.23,446.42
Davidx,#N/A,35,Doctor,3661.8,16264.7,1095.39,26,9,15,3408.89,56,0,81.57,146.63,171.34
Davidx,#N/A,35,Doctor,3756.61,16264.7,1095.39,26,9,15,3408.89,59,1,81.57,51.81,266.15
Davidx,#N/A,36,Doctor,3746.84,16264.7,1095.39,26,9,15,3408.89,60,1,81.57,61.58,256.38
Marshz,#N/A,45,Engineer,542.53,41552.77,3482.73,2,1,2,28.85,263,0,27.06,104.59,486.62
Dineshp,#N/A,17,Journalist,1839.17,14187.13,1304.64,22,3,20,1481.83,137,0,64.54,94.5,292.8
Xiaoyi Shaou,#N/A,21,Architect,4787.02,14550.52,1392.54,25,9,19,4444.99,126,1,95.91,47.22,246.12
Xiaoyi Shaou,#N/A,21,Architect,4721.45,14550.52,1392.54,25,9,20,4444.99,130,1,95.91,152.79,180.55
Sarah N.c,#N/A,52,Architect,1519.33,77439.87,6504.32,13,2,12,879.87,183,0,71.52,300.98,567.94
Sarahb,93516195466,28,Teacher,1861.22,175191.4,14862.28,3,1,12,436.11,243,0,123.72,311.12,1301.39
Tanz,#N/A,18,Architect,2837.95,32430.82,2597.57,21,8,19,2532.02,166,1,128.01,223.83,177.92
Katya Wachtelm,#N/A,31,Mechanic,1228.15,80213.4,6919.45,8,3,8,792.61,374,0,200.35,526.41,235.19
Katya Wachtelm,#N/A,32,Mechanic,1635.61,80213.4,6919.45,8,3,5,792.61,376,0,200.35,88.95,642.65
Katya Wachtelm,#N/A,32,Mechanic,1180.62,80213.4,6919.45,8,3,6,792.61,377,0,200.35,593.93,187.66
imartej,#N/A,34,Scientist,4700.19,20017.24,1481.1,30,8,19,4364.82,53,1,109.02,72.75,226.35
imartej,#N/A,34,Scientist,4707.88,20017.24,1481.1,30,8,19,4364.82,54,1,109.02,85.06,234.04
imartej,#N/A,35,Scientist,4709.16,20017.24,1481.1,30,8,18,4364.82,57,1,109.02,93.77,235.32
imartej,#N/A,35,Scientist,4670.63,20017.24,1481.1,30,8,16,4364.82,59,1,109.02,132.3,196.79
imartej,#N/A,35,Scientist,4736.44,20017.24,1481.1,30,8,19,4364.82,60,1,109.02,66.49,262.6
